iid,gender,pid,match,int_corr,samerace,age_o,race_o,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,race,imprace,imprelig,career,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,career_c
1,0,11,0,0.14,0,27,2,0,6,8,8,8,8,6,7,4,2,21,Law,1,,4,2,4,lawyer,1,6,9,7,7,6,5,7,6,2,1
1,0,12,0,0.54,0,22,2,0,7,8,10,7,7,5,8,4,2,21,Law,1,,4,2,4,lawyer,1,7,8,7,8,5,6,7,5,1,1
1,0,13,1,0.16,1,22,4,1,10,10,10,10,10,10,10,10,1,21,Law,1,,4,2,4,lawyer,1,5,8,9,8,5,7,7,,1,1
1,0,14,1,0.61,0,23,2,1,7,8,9,8,9,8,7,7,2,21,Law,1,,4,2,4,lawyer,1,7,6,8,7,6,8,7,6,2,1
1,0,15,1,0.21,0,24,3,1,8,7,9,6,9,7,8,6,2,21,Law,1,,4,2,4,lawyer,1,5,6,7,7,6,6,6,6,2,1
1,0,16,0,0.25,0,25,2,1,7,7,8,8,7,7,7,6,2,21,Law,1,,4,2,4,lawyer,0,4,9,7,4,6,4,6,5,2,1
1,0,17,0,0.34,0,30,2,0,3,6,7,5,8,7,2,1,2,21,Law,1,,4,2,4,lawyer,1,7,6,7,4,6,7,6,5,2,1
1,0,18,0,0.5,0,27,2,0,6,7,5,6,8,6,7,5,2,21,Law,1,,4,2,4,lawyer,0,4,9,7,6,5,6,6,7,,1
1,0,19,1,0.28,0,28,2,1,7,7,8,8,8,9,6.5,8,2,21,Law,1,,4,2,4,lawyer,1,7,6,8,9,8,8,7,7,2,1
1,0,20,0,-0.36,0,24,2,0,6,6,6,6,6,6,6,6,2,21,Law,1,,4,2,4,lawyer,1,5,6,6,8,10,8,6,6,2,1
2,0,11,0,0.29,1,27,2,0,8,7,6,9,7,4,7,2,2,24,law,1,,2,2,5,law,0,5,7,8,4,6,3,6,4,2,1
2,0,12,0,0.18,1,22,2,0,7,6,10,6,6,5,8,4,2,24,law,1,,2,2,5,law,0,8,5,6,6,9,6,7,3,2,1
2,0,13,0,0.1,0,22,4,1,10,10,10,10,10,10,10,10,2,24,law,1,,2,2,5,law,0,5,8,9,6,3,4,6,7,2,1
